sample_name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_center	geo_loc_name	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_center	sample_type	scientific_name	sex	taxon_id	title
11653.VJST1139	540	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-25 09:00	1990s.Juvenile04	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	VJ.M10039	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VKST0455	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-12 09:00	1990s.Infant04	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	VK.M10040	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VKST1140	538	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-25 09:00	1990s.Juvenile05	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	VK.M10040	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VLST1141	537	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-25 09:00	1990s.Juvenile06	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	VL.M10041	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VNST0467	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-20 09:00	1990s.Infant05	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	VN.M10044	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VNST1142	530	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-25 09:00	1990s.Juvenile07	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	VN.M10044	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WGST0540	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-08-30 09:00	1990s.Infant06	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	WG.M10 09:008	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WGST1325	563	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-08 09:00	1990s.Juvenile08	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	WG.M10 09:008	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WHST0553	9	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-07 09:00	1990s.Infant07	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	WH.M10102	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WHST1326	557	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-08 09:00	1990s.Juvenile09	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	WH.M10102	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WIST0554	8	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-07 09:00	1990s.Infant08	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	WI.M10103	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WIST1327	556	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-08 09:00	1990s.Juvenile10	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	WI.M10103	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.WJST1328	554	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-08 09:00	1990s.Juvenile11	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	WJ.M10105	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XKST0929	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-04-25 09:00	Control.Infant11	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	XK.M11071	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XKST1541a	571	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-11-09 09:00	Control.Juvenile13	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	XK.M11071	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XNST0935	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-02 09:00	Control.Infant12	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	XN.M11075	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XNST1542a	564	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-11-09 09:00	Control.Juvenile14	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	XN.M11075	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XOST0941	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-03 09:00	Control.Infant13	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	XO.M11076	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XOST1543a	563	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-11-09 09:00	Control.Juvenile15	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	XO.M11076	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.XSST1544a	549	days	UBERON:feces	UBERON:feces	UBERON:feces	2012-11-09 09:00	Control.Juvenile16	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	XS.M11 09:002	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
